Feature,Coefficient
cat__Store_Dept_13_50,-683.6044737210665
cat__Store_Dept_13_51,-336.16728340691225
cat__Store_Dept_13_52,2466.446735257763
cat__Store_Dept_13_54,-338.50052953254163
cat__Store_Dept_13_55,10812.44082023677
cat__Store_Dept_13_56,3213.9603986498164
cat__Store_Dept_13_58,3597.8592082743307
cat__Store_Dept_13_59,437.66314827348555
cat__Store_Dept_13_6,3385.961285489467
cat__Store_Dept_13_60,362.77123538435393
cat__Store_Dept_13_67,8693.440212814114
cat__Store_Dept_13_7,36696.98084877269
cat__Store_Dept_13_71,4688.64812549599
cat__Store_Dept_13_72,30489.01334008622
cat__Store_Dept_13_74,15826.848936082908
cat__Store_Dept_13_77,128.89882129463874
cat__Store_Dept_13_78,-355.314875158706
cat__Store_Dept_13_79,31527.891371735725
cat__Store_Dept_13_8,6376.615987936778
cat__Store_Dept_13_80,7652.457731404883
cat__Store_Dept_13_81,17774.589086549597
cat__Store_Dept_13_82,17258.545234585545
cat__Store_Dept_13_83,1580.9755221878106
cat__Store_Dept_13_85,2382.2157499816203
cat__Store_Dept_13_87,1924.6196259919218
cat__Store_Dept_13_9,21938.000748488557
cat__Store_Dept_13_90,70498.25282409517
cat__Store_Dept_13_91,47912.879694499956
cat__Store_Dept_13_92,87397.2744078941
cat__Store_Dept_13_93,24160.06474705119
cat__Store_Dept_13_94,46298.190072334175
cat__Store_Dept_13_95,68051.07418312106
cat__Store_Dept_13_96,-2779.6046758690595
cat__Store_Dept_13_97,13521.220095270563
cat__Store_Dept_13_98,8662.12302332338
cat__Store_Dept_13_99,20.01128105716474
cat__Store_Dept_14_1,11786.039422608636
cat__Store_Dept_14_10,2238.811991222622
cat__Store_Dept_14_11,6058.042508533232
cat__Store_Dept_14_12,1164.5209302709857
cat__Store_Dept_14_13,30210.56092153971
cat__Store_Dept_14_14,10212.627819862517
cat__Store_Dept_14_16,16308.246787617649
cat__Store_Dept_14_17,13086.081416377605
cat__Store_Dept_14_18,8056.480093379943
cat__Store_Dept_14_19,-603.4667062060386
cat__Store_Dept_14_2,35593.11629638033
cat__Store_Dept_14_20,6205.420673026205
cat__Store_Dept_14_21,3632.674071529491
cat__Store_Dept_14_22,9688.91670069155
cat__Store_Dept_14_23,14935.536212526777
cat__Store_Dept_14_24,3481.0960573429456
cat__Store_Dept_14_25,5349.979129002165
cat__Store_Dept_14_26,5074.1799108507985
cat__Store_Dept_14_27,877.7393930339382
cat__Store_Dept_14_28,324.8345497208559
cat__Store_Dept_14_29,4504.653106825435
cat__Store_Dept_14_3,7436.9619129051125
cat__Store_Dept_14_30,2403.519656728189
cat__Store_Dept_14_31,1389.6506196506514
cat__Store_Dept_14_32,6465.635652516041
cat__Store_Dept_14_33,3893.6986165870007
cat__Store_Dept_14_34,11000.579281917286
cat__Store_Dept_14_35,986.4308978821708
cat__Store_Dept_14_36,1258.0495373595475
cat__Store_Dept_14_38,44506.79629808339
cat__Store_Dept_14_4,27840.59107165727
cat__Store_Dept_14_40,28604.375817338005
cat__Store_Dept_14_41,2030.2639480873127
cat__Store_Dept_14_42,2621.094739800402
cat__Store_Dept_14_43,-1793.1651323181932
cat__Store_Dept_14_44,1254.9437151442157
cat__Store_Dept_14_45,-285.74040392206035
cat__Store_Dept_14_46,13268.09013130489
cat__Store_Dept_14_47,-311.3252125311683
cat__Store_Dept_14_49,5940.222714844124
cat__Store_Dept_14_5,12864.567697277189
cat__Store_Dept_14_50,-656.9781483658514
cat__Store_Dept_14_51,-384.28145610753484
cat__Store_Dept_14_52,251.97957773526753
cat__Store_Dept_14_54,-303.7591379086953
cat__Store_Dept_14_55,6555.642248609482
cat__Store_Dept_14_56,2415.528119865034
cat__Store_Dept_14_58,3997.8744596499414
cat__Store_Dept_14_59,487.03231326414203
cat__Store_Dept_14_6,2562.7235722256123
cat__Store_Dept_14_60,-221.2089575040494
cat__Store_Dept_14_67,7247.319819760782
cat__Store_Dept_14_7,30013.19518398339
cat__Store_Dept_14_71,4874.502698700681
cat__Store_Dept_14_72,48099.92944883141
cat__Store_Dept_14_74,12591.684294241248
cat__Store_Dept_14_77,-497.24059492676537
cat__Store_Dept_14_78,-404.1935972067418
cat__Store_Dept_14_79,16328.998413895557
cat__Store_Dept_14_8,24128.879584276387
cat__Store_Dept_14_80,24744.742903766448
cat__Store_Dept_14_81,25424.210916525342
cat__Store_Dept_14_82,11616.415521433068
cat__Store_Dept_14_83,7585.184000869051
cat__Store_Dept_14_85,-36.93126054997259
cat__Store_Dept_14_87,4109.464973408563
cat__Store_Dept_14_9,2726.6377819679474
cat__Store_Dept_14_90,63616.8252399037
cat__Store_Dept_14_91,59094.75797203309
cat__Store_Dept_14_92,110388.86335185543
cat__Store_Dept_14_93,37151.58536992665
cat__Store_Dept_14_94,36165.5247917224
cat__Store_Dept_14_95,77562.18574835655
cat__Store_Dept_14_96,-11353.383704908034
cat__Store_Dept_14_97,12040.586257143219
cat__Store_Dept_14_98,11679.628538731607
cat__Store_Dept_14_99,-66.17514610019583
cat__Store_Dept_15_1,-5180.027093484358
cat__Store_Dept_15_10,-6646.723854247401
cat__Store_Dept_15_11,-382.18533489116874
cat__Store_Dept_15_12,-698.1643618492263
cat__Store_Dept_15_13,-11336.02842076231
cat__Store_Dept_15_14,-1969.332512083513
cat__Store_Dept_15_16,335.9715042571785
cat__Store_Dept_15_17,1025.1519572606232
cat__Store_Dept_15_18,-678.9832423540349
cat__Store_Dept_15_19,-476.5047157928883
cat__Store_Dept_15_2,-16519.904799929012
cat__Store_Dept_15_20,-877.7380202156144
cat__Store_Dept_15_21,-2111.5416048873876
cat__Store_Dept_15_22,-682.43802560161
cat__Store_Dept_15_23,270.8607265993148
cat__Store_Dept_15_24,-905.1913963441148
cat__Store_Dept_15_25,-30.415039243215663
cat__Store_Dept_15_26,-1989.6904650442066
cat__Store_Dept_15_27,-138.97490175294095
