feature,coefficient,importance,relative_importance
Store_11 Dept_29,1127.873206251838,1127.873206251838,4.9795081517840336e-05
Store_32 Dept_11,-1121.7023022744424,1121.7023022744424,4.952263895524562e-05
Store_11 Dept_55,-1121.5150688130407,1121.5150688130407,4.951437268433707e-05
Store_24 Dept_4,-1119.5635185555288,1119.5635185555288,4.9428212641151095e-05
WeekOfYear_48,1117.9136918204674,1117.9136918204674,4.9355373552229294e-05
Store_32 Dept_14,-1116.3321153247584,1116.3321153247584,4.9285547679875924e-05
Store_34 Dept_81,1116.1342903224222,1116.1342903224222,4.9276813797323346e-05
Store_42 Dept_44,1115.2222117486049,1115.2222117486049,4.923654594923354e-05
Store_34 Dept_28,1114.750246509846,1114.750246509846,4.921570890176463e-05
Store_39 Dept_67,-1114.5551539959097,1114.5551539959097,4.920709565731381e-05
Store_23 Dept_42,1111.8716583802561,1111.8716583802561,4.908862056437468e-05
Store_35 Dept_27,1105.360384941046,1105.360384941046,4.880115084712881e-05
Store_41 Dept_41,-1103.9922977142605,1103.9922977142605,4.8740750427468434e-05
Store_9 Dept_14,-1096.8104690044383,1096.8104690044383,4.8423676004500973e-05
Store_24 Dept_98,-1095.5275100313988,1095.5275100313988,4.836703395795494e-05
Store_18 Dept_27,1094.8380643465593,1094.8380643465593,4.833659524916355e-05
Store_21 Dept_21,1092.0341308046566,1092.0341308046566,4.8212802877365264e-05
Store_44 Dept_90,-1091.9911972534314,1091.9911972534314,4.8210907380893446e-05
Store_4 Dept_81,1091.4516040131502,1091.4516040131502,4.8187084588369124e-05
Store_12 Dept_17,1088.1971998603267,1088.1971998603267,4.804340414700073e-05
Store_6 Dept_46,1088.172041757184,1088.172041757184,4.8042293428358e-05
Store_25 Dept_47,1077.5463436123282,1077.5463436123282,4.757317375925495e-05
Store_8 Dept_80,-1072.073241518792,1072.073241518792,4.733153882778177e-05
Store_16 Dept_58,1070.48797364832,1070.48797364832,4.7261549982936255e-05
Store_23 Dept_6,-1068.8103657668241,1068.8103657668241,4.718748436922098e-05
Store_4 Dept_14,-1067.5546399265727,1067.5546399265727,4.713204465291885e-05
Store_43 Dept_38,1065.7733600962,1065.7733600962,4.705340197050753e-05
Store_22 Dept_71,1065.0344956129138,1065.0344956129138,4.702078144457259e-05
Store_25 Dept_9,-1064.9833344237593,1064.9833344237593,4.7018522701683426e-05
Store_34 Dept_8,-1064.441745518542,1064.441745518542,4.6994611801473216e-05
Store_41 Dept_17,-1060.352269262225,1060.352269262225,4.681406331213965e-05
Store_27 Dept_1,1059.7496060543422,1059.7496060543422,4.678745600965389e-05
Store_22 Dept_44,1059.619306080845,1059.619306080845,4.678170332596028e-05
Store_25 Dept_26,1059.0483417253515,1059.0483417253515,4.6756495513177796e-05
Store_16 Dept_47,1057.7630972419545,1057.7630972419545,4.669975256240428e-05
Store_27 Dept_78,-1057.4375233689263,1057.4375233689263,4.668537862616956e-05
WeekOfYear_43,-1057.3802803539963,1057.3802803539963,4.66828513734793e-05
Store_11 Dept_93,1056.3444569607689,1056.3444569607689,4.663712024872349e-05
Store_21 Dept_87,-1044.4422820378186,1044.4422820378186,4.6111644718989546e-05
Store_18 Dept_55,-1038.8510054239475,1038.8510054239475,4.586479243698371e-05
Store_40 Dept_58,1038.0212420808648,1038.0212420808648,4.582815876834056e-05
Store_26 Dept_20,-1037.067778613074,1037.067778613074,4.578606379628186e-05
Store_14 Dept_16,1031.4497664229332,1031.4497664229332,4.553803115092277e-05
Store_28 Dept_47,-1027.487294347347,1027.487294347347,4.5363089837553255e-05
Store_26 Dept_4,-1027.276785906447,1027.276785906447,4.535379598704177e-05
Store_8 Dept_29,1025.0848706821919,1025.0848706821919,4.525702394150778e-05
Store_32 Dept_74,-1023.6810963983611,1023.6810963983611,4.519504795474921e-05
Store_34 Dept_19,1022.9824159953272,1022.9824159953272,4.5164201537411566e-05
Store_40 Dept_85,1020.9371676597361,1020.9371676597361,4.507390476732211e-05
Store_15 Dept_60,1018.856405974848,1018.856405974848,4.498204009925137e-05
Store_41 Dept_27,-1014.8602897235138,1014.8602897235138,4.4805613411050106e-05
Store_17 Dept_21,1012.5193090263857,1012.5193090263857,4.470226019368575e-05
Store_30 Dept_34,-1010.3987087217953,1010.3987087217953,4.460863666894155e-05
Store_31 Dept_78,-1004.1571293537058,1004.1571293537058,4.433307382046593e-05
Store_2 Dept_79,-1000.3391922345398,1000.3391922345398,4.416451365871632e-05
Store_29 Dept_48,1000.3350233780096,1000.3350233780096,4.416432960562453e-05
Store_22 Dept_60,-999.0583753343702,999.0583753343702,4.410796618369887e-05
Store_28 Dept_58,-991.1418510058445,991.1418510058445,4.375845528824377e-05
Store_11 Dept_8,-988.4274743777185,988.4274743777185,4.363861681285624e-05
Store_25 Dept_14,985.7370199294177,985.7370199294177,4.35198344906674e-05
Store_24 Dept_51,-984.2494259905125,984.2494259905125,4.34541579048219e-05
Store_34 Dept_26,-980.2596902691545,980.2596902691545,4.327801291407434e-05
WeekOfYear_8,-979.3184126629343,979.3184126629343,4.323645594217994e-05
Store_25 Dept_4,-974.8238532844686,974.8238532844686,4.3038023219958234e-05
Store_36 Dept_72,-973.8392741052024,973.8392741052024,4.299455450359848e-05
Store_21 Dept_40,-969.2003428057125,969.2003428057125,4.278974782769436e-05
WeekOfYear_17,-968.6661677817581,968.6661677817581,4.276616424692024e-05
Store_30 Dept_3,-967.1722146451444,967.1722146451444,4.270020690543083e-05
Store_16 Dept_14,966.0908970104856,966.0908970104856,4.2652467230912405e-05
Store_40 Dept_44,965.9961325041621,965.9961325041621,4.2648283421694116e-05
Store_29 Dept_74,965.8280087467253,965.8280087467253,4.264086083539608e-05
Store_14 Dept_78,-961.9296989165864,961.9296989165864,4.246875225555078e-05
Store_40 Dept_11,-958.434864843552,958.434864843552,4.231445694416875e-05
Store_26 Dept_95,956.4990146672073,956.4990146672073,4.2228990052320376e-05
Store_40 Dept_1,954.1215879626434,954.1215879626434,4.2124027760548355e-05
Store_34 Dept_55,953.6758964069882,953.6758964069882,4.210435068406259e-05
Store_32 Dept_56,952.4977973491892,952.4977973491892,4.205233815437927e-05
Store_43 Dept_67,-951.8850953943465,951.8850953943465,4.2025287645848335e-05
Store_22 Dept_26,949.6509155688929,949.6509155688929,4.192664963767746e-05
Store_43 Dept_32,-948.2349771586355,948.2349771586355,4.1864136610351176e-05
Store_32 Dept_52,-947.5500993224675,947.5500993224675,4.183389956997047e-05
Store_7 Dept_46,947.0738536692969,947.0738536692969,4.181287354418078e-05
